Problem:    part
Rows:       431
Columns:    135 (135 integer, 120 binary)
Non-zeros:  974
Status:     INTEGER OPTIMAL
Objective:  BENEFICIO = 21690 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 BENEFICIO               21690                             
     2 max_asientos_avion[AV1]
                                  90                          90 
     3 max_asientos_avion[AV2]
                                 120                         120 
     4 max_asientos_avion[AV3]
                                 200                         200 
     5 max_asientos_avion[AV4]
                                 150                         150 
     6 max_asientos_avion[AV5]
                                 190                         190 
     7 max_capacidad_avion[AV1]
                                1699                        1700 
     8 max_capacidad_avion[AV2]
                                2698                        2700 
     9 max_capacidad_avion[AV3]
                                1300                        1300 
    10 max_capacidad_avion[AV4]
                                1700                        1700 
    11 max_capacidad_avion[AV5]
                                1993                        2000 
    12 min_leisure_avion[AV1]
                                  58            20               
    13 min_leisure_avion[AV2]
                                  31            20               
    14 min_leisure_avion[AV3]
                                  23            20               
    15 min_leisure_avion[AV4]
                                  20            20               
    16 min_leisure_avion[AV5]
                                  21            20               
    17 min_business_avion[AV1]
                                  13            10               
    18 min_business_avion[AV2]
                                  51            10               
    19 min_business_avion[AV3]
                                  17            10               
    20 min_business_avion[AV4]
                                  30            10               
    21 min_business_avion[AV5]
                                  36            10               
    22 porcentaje_estandar
                                   0            -0               
    23 un_solo_slot_por_avion[AV1]
                                   1             1             = 
    24 un_solo_slot_por_avion[AV2]
                                   1             1             = 
    25 un_solo_slot_por_avion[AV3]
                                   1             1             = 
    26 un_solo_slot_por_avion[AV4]
                                   1             1             = 
    27 un_solo_slot_por_avion[AV5]
                                   1             1             = 
    28 un_solo_avion_por_slot[P1,S1]
                                   0                           1 
    29 un_solo_avion_por_slot[P1,S2]
                                   0                           1 
    30 un_solo_avion_por_slot[P1,S3]
                                   0                           1 
    31 un_solo_avion_por_slot[P1,S4]
                                   0                           1 
    32 un_solo_avion_por_slot[P1,S5]
                                   1                           1 
    33 un_solo_avion_por_slot[P1,S6]
                                   0                           1 
    34 un_solo_avion_por_slot[P2,S1]
                                   0                           1 
    35 un_solo_avion_por_slot[P2,S2]
                                   0                           1 
    36 un_solo_avion_por_slot[P2,S3]
                                   0                           1 
    37 un_solo_avion_por_slot[P2,S4]
                                   1                           1 
    38 un_solo_avion_por_slot[P2,S5]
                                   0                           1 
    39 un_solo_avion_por_slot[P2,S6]
                                   0                           1 
    40 un_solo_avion_por_slot[P3,S1]
                                   0                           1 
    41 un_solo_avion_por_slot[P3,S2]
                                   1                           1 
    42 un_solo_avion_por_slot[P3,S3]
                                   0                           1 
    43 un_solo_avion_por_slot[P3,S4]
                                   0                           1 
    44 un_solo_avion_por_slot[P3,S5]
                                   0                           1 
    45 un_solo_avion_por_slot[P3,S6]
                                   0                           1 
    46 un_solo_avion_por_slot[P4,S1]
                                   1                           1 
    47 un_solo_avion_por_slot[P4,S2]
                                   0                           1 
    48 un_solo_avion_por_slot[P4,S3]
                                   0                           1 
    49 un_solo_avion_por_slot[P4,S4]
                                   0                           1 
    50 un_solo_avion_por_slot[P4,S5]
                                   0                           1 
    51 un_solo_avion_por_slot[P4,S6]
                                   1                           1 
    52 solo_un_slot_valido[AV1,P1,S1]
                                   0                          -0 
    53 solo_un_slot_valido[AV1,P1,S2]
                                   0                          -0 
    54 solo_un_slot_valido[AV1,P1,S3]
                                   0                          -0 
    55 solo_un_slot_valido[AV1,P1,S4]
                                   0                          -0 
    56 solo_un_slot_valido[AV1,P1,S5]
                                   0                           1 
    57 solo_un_slot_valido[AV1,P1,S6]
